RecNum,EQID,EQName,Month,Day,Year,StationName,StaID,StaNetwork,StaSeqNum,StaLat,StaLong,M,Strike,Dip,Rake,EQmechanism,HypocenterLat,HypocenterLong,Zhyp,FiniteFaultModelFlag,Source_of_SourceParameters,Ztor,L,W,Repi,Rhyp,Rjb,Rrup,Rseis,Rx,Azimuth,Geology,Vs30,VsFlag,VsSource,VsReference,GroundMotionDataSource,PGA,T0.1S,T0.2S,T0.3S,T0.5S,T1.0S,T2.0S
30,1,San Simeon,12,23,2003,Parkfield - Bear Valley Ranch,61022,BK,653,35.945,-120.542,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,57.135,57.638,43.239,46.928,46.928,55.541,90,Tsh,376.073,0,CGS geologic map,Shakal et al. (2005),CESMD,0.028257936,0.043949289,0.056630822,0.049522217,0.055543857,0.045681178,0.011071134
31,2,Parkfield,9,28,2004,San Luis Obispo - Rec Center,1083,NP,19,35.285,-120.661,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,64.319,64.763,62.068,63.686,63.686,60.381,69.23,KJf,712.822,0,NGA flatfile,PEER (2008),NSMP,0.011882546,0.022485977,0.025359028,0.028844405,0.029457033,0.012697752,0.002837328
32,2,Parkfield,9,28,2004,Hollister - City Hall Annex,1575,NP,21,36.851,-121.402,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,147.432,147.626,117.222,117.222,117.278,-5.804,-177.162,Qoa,198.77,1,NGA flatfile,PEER (2008),NSMP,0.012746218,0.013194672,0.017468515,0.021402835,0.030325878,0.045789583,0.027083749
33,2,Parkfield,9,28,2004,Coalinga - Fire Station 39,1747,NP,37,36.137,-120.363,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,35.753,36.552,22.517,22.518,23.182,-22.517,-90,"Qal, thin",338.539,0,CGS geologic map,Jennings and Strand (1958),NSMP,0.059490389,0.082447526,0.135976008,0.121237945,0.124579281,0.095469651,0.032288146
34,2,Parkfield,9,28,2004,Fresno - USGS NSMP Office,1748,NP,38,36.744,-119.728,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,118.356,118.595,110.148,110.149,110.685,-109.772,-94.736,Qoa,370.789,0,CGS geologic map,Matthews and Burnett (1965),NSMP,0.003700106,0.005583831,0.007633275,0.011807388,0.007069686,0.004765286,0.002096744
35,2,Parkfield,9,28,2004,"Hollister - Airport, Bldg 3",1797,NP,65,36.891,-121.404,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,151.014,151.203,120.803,120.803,120.87,-8.643,-175.897,"Qal, deep (incl LA)",271.441,0,NGA flatfile,PEER (2008),NSMP,0.010032486,0.010376937,0.012198616,0.014920226,0.024608628,0.020388153,0.022263128
36,2,Parkfield,9,28,2004,Fresno - VA Medical Center,1840,NP,82,36.773,-119.781,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,118.956,119.199,109.3,109.301,109.837,-108.316,-97.694,Qoa,370.789,0,CGS geologic map,Matthews and Burnett (1965),NSMP,0.006117816,0.007659476,0.01235128,0.012846068,0.010693199,0.00573919,0.001953377
37,2,Parkfield,9,28,2004,Buttonwillow - Hwy 58 & Wasco,35219,CE,518,35.403,-119.449,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,95.521,95.822,91.26,91.261,91.474,-31.081,-19.912,"Qal, deep (incl LA)",271.441,0,CGS geologic map,Smith (1964),COSMOS,0.007964238,0.008898202,0.016817253,0.019893718,0.018390215,0.015158166,0.006241394
38,2,Parkfield,9,28,2004,Parkfield - Fault Zone 12,36138,CE,520,35.899,-120.433,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,10.739,13.379,0.294,0.357,3.182,-0.294,-90,"Qal, thin",261.104,1,Other Vs profile,Thompson et al. (2010),COSMOS,0.289380934,0.327261363,0.473392015,0.402022387,0.538465412,0.738235735,0.178443268
39,2,Parkfield,9,28,2004,San Luis Obispo - Lopez Lake Grounds,36153,CE,521,35.208,-120.457,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,67.785,68.219,64.649,66.101,66.101,52.163,51.416,Tss,477.652,0,CGS geologic map,Jennings (1958),COSMOS,0.015824137,0.041484334,0.041641326,0.024099793,0.016849332,0.010536935,0.002953777
40,2,Parkfield,9,28,2004,Parkfield - Vineyard Canyon 3W,36176,CE,522,35.922,-120.534,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,18.707,20.467,2.149,4.859,5.511,4.841,90,Tsh,308.869,1,Other Vs profile,Thompson et al. (2010),COSMOS,0.282357625,0.84791509,0.819865843,0.613671736,0.385162303,0.209069366,0.059387878
41,2,Parkfield,9,28,2004,Parkfield - Vineyard Canyon 2E,36177,CE,523,35.973,-120.467,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,19.443,21.117,3.439,3.469,5.169,-3.439,-90,KJf,467.756,1,Other Vs profile,Thompson et al. (2010),COSMOS,0.28675307,0.468422886,0.697515591,0.559084967,0.436027522,0.182756669,0.061897981
42,2,Parkfield,9,28,2004,Parkfield - Cholame 5W,36227,CE,524,35.697,-120.328,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,13.742,15.827,9.932,11.399,11.526,7.437,40.447,"Qal, thin",236.567,1,Other Vs profile,Thompson et al. (2010),COSMOS,0.240832728,0.470949042,0.647506757,0.396495902,0.475083151,0.150349593,0.023562895
43,2,Parkfield,9,28,2004,Parkfield - Cholame 12W,36229,CE,525,35.639,-120.404,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,19.721,21.227,16.778,18.891,18.891,16.858,61.928,Qoa,359.034,1,Other Vs profile,Thompson et al. (2010),COSMOS,0.079904616,0.204521393,0.150479234,0.117096541,0.097289773,0.058980929,0.024247268
44,2,Parkfield,9,28,2004,Parkfield - Cholame 2E,36230,CE,526,35.751,-120.259,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,12.595,14.888,8.448,8.45,9.061,-1.211,-8.24,Tsh,522.746,1,Other Vs profile,Thompson et al. (2010),COSMOS,0.468978277,0.757891813,1.590471628,0.753319321,0.264748938,0.154123327,0.041028039
45,2,Parkfield,9,28,2004,Parkfield - Fault Zone 3,36408,CE,527,35.803,-120.344,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,3.021,8.438,0,0.742,2.988,0.736,90,Qoa,211.718,1,Other Vs profile,Thompson et al. (2010),COSMOS,0.380111998,0.869528608,0.985981744,0.890286471,0.775461153,0.212649947,0.042089904
46,2,Parkfield,9,28,2004,Parkfield - Cholame 3W,36410,CE,528,35.724,-120.294,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,12.425,14.704,8.526,9.066,9.394,3.147,20.284,"Qal, thin",230.577,1,Other Vs profile,Thompson et al. (2010),COSMOS,0.425493136,0.740604483,0.684876631,0.677079021,0.661062781,0.343642256,0.075116975
47,2,Parkfield,9,28,2004,Parkfield - Cholame 4W,36411,CE,529,35.718,-120.304,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,12.49,14.775,8.561,9.414,9.69,4.266,26.884,QT,410.397,1,Other Vs profile,Thompson et al. (2010),COSMOS,0.543751573,0.594727669,0.997246208,0.928385696,0.805257723,0.254086599,0.059043289
48,2,Parkfield,9,28,2004,Parkfield - Cholame 4AW,36412,CE,530,35.707,-120.316,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,13.085,15.262,9.185,10.389,10.576,5.888,34.364,"Qal, thin",283.372,1,Other Vs profile,Thompson et al. (2010),COSMOS,0.289231182,0.561034758,0.736275764,0.547081347,0.491454983,0.207364414,0.0528
49,2,Parkfield,9,28,2004,Parkfield - Fault Zone 4,36414,CE,531,35.836,-120.395,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,3.006,8.482,0,1.765,3.282,1.766,90,"Qal, thin",220.748,1,Other Vs profile,Thompson et al. (2010),COSMOS,0.119105833,0.151881533,0.195058965,0.222943939,0.319299233,0.19990998,0.048882512
50,2,Parkfield,9,28,2004,Parkfield - Gold Hill 1W,36415,CE,532,35.818,-120.378,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,0.492,7.915,0,1.929,3.323,1.937,90,"Qal, thin",214.428,1,Other Vs profile,Thompson et al. (2010),COSMOS,0.145238969,0.263742298,0.17533967,0.196692654,0.234972339,0.1161895,0.035426544
51,2,Parkfield,9,28,2004,Parkfield - Gold Hill 2W,36416,CE,533,35.812,-120.391,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,1.573,8.119,0.567,3.242,4.119,3.259,90,Tsh,290.496,1,Other Vs profile,Thompson et al. (2010),COSMOS,0.208012429,0.641833312,0.467439836,0.351602048,0.241458071,0.088183332,0.034531145
52,2,Parkfield,9,28,2004,Parkfield - Stone Corral 1E,36419,CE,534,35.788,-120.294,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,7.829,11.128,3.545,3.547,4.842,-1.553,-25.973,"Qal, thin",260.627,1,Other Vs profile,Thompson et al. (2010),COSMOS,0.740214026,1.234503949,1.574801575,1.169316039,0.916351461,0.302231699,0.06696626
53,2,Parkfield,9,28,2004,Parkfield - Gold Hill 3W,36420,CE,535,35.796,-120.411,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,3.955,9.035,3.098,5.762,6.188,5.79,90,QT,510.915,1,Other Vs profile,Thompson et al. (2010),COSMOS,0.531922555,1.034456379,0.989317947,0.435744191,0.310032256,0.123899153,0.032499846
54,2,Parkfield,9,28,2004,Parkfield - Gold Hill 2E,36421,CE,536,35.843,-120.348,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,3.896,8.835,1.932,1.938,3.89,-1.932,-90,"Qal, thin",360.915,1,Other Vs profile,Thompson et al. (2010),COSMOS,0.183809227,0.41831567,0.369284443,0.282425211,0.33,0.053162581,0.015331014
55,2,Parkfield,9,28,2004,Parkfield - Stone Corral 2E,36422,CE,537,35.81,-120.282,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,8.336,11.538,4.489,4.494,5.824,-3.982,-62.49,Tsh,566.328,1,Other Vs profile,Thompson et al. (2010),COSMOS,0.182063137,0.555437665,0.293520016,0.238704839,0.178597312,0.101076704,0.035211362
56,2,Parkfield,9,28,2004,Point Buchon - Los Osos,36427,CE,538,35.274,-120.885,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,75.842,76.216,74.424,75.9,75.9,76.407,82.359,QT,438.339,0,CGS geologic map,Jennings (1958),COSMOS,0.011547789,0.029920896,0.027739863,0.020227704,0.023757946,0.011993748,0.003584188
57,2,Parkfield,9,28,2004,Parkfield - Fault Zone 7,36431,CE,539,35.871,-120.404,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,6.781,10.462,0.198,0.274,3.147,-0.198,-90,Qoa,297.441,1,Other Vs profile,Thompson et al. (2010),COSMOS,0.240815139,0.554746789,0.444297198,0.531228764,0.643951862,0.275818781,0.078728902
58,2,Parkfield,9,28,2004,Parkfield - Gold Hill 6W,36432,CE,540,35.738,-120.507,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,14.755,16.725,13.867,16.323,16.324,16.558,90,QT,438.339,0,NGA flatfile,PEER (2008),COSMOS,0.102312298,0.214476106,0.254074792,0.235838928,0.079022528,0.030644086,0.012627747
59,2,Parkfield,9,28,2004,Parkfield - Gold Hill 4W,36433,CE,541,35.785,-120.444,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,7.152,10.787,6.142,8.751,8.911,8.834,90,QT,438.339,0,NGA flatfile,PEER (2008),COSMOS,0.345815344,1.112348866,0.658306919,0.271547418,0.107216603,0.060603878,0.025979992
60,2,Parkfield,9,28,2004,Parkfield - Gold Hill 5W,36434,CE,542,35.77,-120.477,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,10.568,13.246,9.48,12.023,12.066,12.172,90,QT,438.339,0,NGA flatfile,PEER (2008),COSMOS,0.207522346,0.433383202,0.377730062,0.374763926,0.167248318,0.078612976,0.023790755
61,2,Parkfield,9,28,2004,Parkfield - Stone Corral 3E,36437,CE,543,35.833,-120.27,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,9.611,12.531,6.543,6.548,7.715,-6.484,-82.304,Tsh,565.076,1,Other Vs profile,Thompson et al. (2010),COSMOS,0.19517428,0.492487563,0.398334031,0.243997951,0.1000065,0.120415946,0.041978566
62,2,Parkfield,9,28,2004,Parkfield - Gold Hill 3E,36439,CE,544,35.87,-120.334,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,7.094,10.693,4.864,4.869,6.202,-4.864,-90,Qoa,450.613,1,Other Vs profile,Thompson et al. (2010),COSMOS,0.14601968,0.316595957,0.356931366,0.23651427,0.167,0.060284326,0.021748333
63,2,Parkfield,9,28,2004,Parkfield - Vineyard Canyon 5W,36440,CE,545,35.885,-120.565,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,18.926,20.552,6.968,9.553,9.666,9.659,90,Tsh,320.395,1,Other Vs profile,Thompson et al. (2010),COSMOS,0.169583253,0.400574587,0.330549542,0.377835943,0.213447886,0.11789402,0.04328695
64,2,Parkfield,9,28,2004,Parkfield - Vineyard Canyon 6W,36441,CE,546,35.861,-120.6,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,21.052,22.49,11.1,13.605,13.621,13.792,90,QT,438.339,0,NGA flatfile,PEER (2008),COSMOS,0.106784465,0.355831421,0.274708937,0.190207781,0.150499169,0.094409216,0.033742258
65,2,Parkfield,9,28,2004,Parkfield - Fault Zone 9,36443,CE,547,35.879,-120.445,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,9.572,12.471,0,1.995,3.43,1.988,90,QT,372.291,1,Other Vs profile,Thompson et al. (2010),COSMOS,0.120299303,0.223651515,0.220726075,0.218917793,0.223964283,0.273581798,0.079387656
66,2,Parkfield,9,28,2004,Parkfield - Fault Zone 15,36445,CE,548,35.921,-120.481,6,137,80,180,Strike-slip,35.815,-120.374,7.9,1,Dreger (2004),0.122,34,15.5,15.226,17.254,0,1.375,3.32,1.333,90,Tsh,307.583,1,Other Vs profile,Thompson et al. (2010),COSMOS,0.179792676,0.266347517,0.509585125,0.318372423,0.361330873,0.339755795,0.09284891
